customer_id,customer_name,industry,city,customer_segment,credit_limit,payment_terms_days,account_status,contact_person,email,phone,created_at,total_orders,lifetime_sales
CUS-0001,Alpha Systems,Technology,Lahore,Enterprise,2040000,45,Active,Manuel Smith,accounts1@example-business.pk,+92-322-5418284,2022-11-14,50,150524076.0
CUS-0002,BlueWave Technologies,Retail,Hyderabad,Enterprise,2280000,60,Active,Dr. Yvonne Baker,accounts2@example-business.pk,+92-342-1405769,2023-02-01,37,90972797.67
CUS-0003,Elite Group,Financial Services,Gujranwala,SMB,630000,15,Active,Anthony Lee,accounts3@example-business.pk,+92-320-1618595,2023-12-17,14,6531208.24
CUS-0004,Pacific Industries,Technology,Lahore,Mid-Market,1690000,30,Active,Michael Diaz,accounts4@example-business.pk,+92-330-8332284,2022-11-01,35,48848729.77
CUS-0005,Prime Engineering,Logistics,Islamabad,Enterprise,2100000,30,Active,Paige Bailey,accounts5@example-business.pk,+92-319-5137086,2022-10-30,54,145937880.55
CUS-0006,Elite Manufacturing,Financial Services,Karachi,SMB,520000,15,Inactive,Gregory Johnson,accounts6@example-business.pk,+92-332-4495849,2023-05-30,1,153857.25
CUS-0007,Pak Enterprises,Hospitality,Lahore,SMB,210000,15,Active,Cheryl Hernandez,accounts7@example-business.pk,+92-328-3334093,2022-07-21,10,4686822.67
CUS-0008,Crescent Group,Hospitality,Islamabad,Mid-Market,1610000,45,Active,Jessica Shah,accounts8@example-business.pk,+92-323-6086223,2022-07-14,20,21818338.47
CUS-0009,BlueWave Solutions,Food & Beverage,Hyderabad,SMB,510000,30,Active,Miss Danielle Hernandez,accounts9@example-business.pk,+92-344-6386496,2024-09-02,10,4376178.62
CUS-0010,Pacific Systems,Education,Lahore,Mid-Market,1360000,30,Active,Norman Hunt,accounts10@example-business.pk,+92-322-4712136,2022-03-13,30,30755065.34
CUS-0011,Modern Supplies,Logistics,Karachi,Enterprise,4580000,60,Active,Alan Bell,accounts11@example-business.pk,+92-325-5529205,2023-09-22,42,108509335.23
CUS-0012,National Group,Construction,Peshawar,Mid-Market,1890000,30,Active,Benjamin Wright,accounts12@example-business.pk,+92-348-2535268,2022-09-21,23,22103066.470000003
CUS-0013,Falcon Manufacturing,Healthcare,Karachi,Mid-Market,1890000,45,Active,Jason Snyder,accounts13@example-business.pk,+92-329-7307252,2023-06-14,27,18455823.46
CUS-0014,Modern Systems,Financial Services,Faisalabad,Mid-Market,1940000,45,Active,Sarah Phillips,accounts14@example-business.pk,+92-336-4624900,2022-01-13,24,16172917.15
CUS-0015,Apex Engineering,Logistics,Rawalpindi,Mid-Market,1980000,45,Inactive,Eric Robinson,accounts15@example-business.pk,+92-313-8089169,2022-01-28,0,0.0
CUS-0016,United Corporation,Hospitality,Lahore,Mid-Market,1330000,45,Active,Karen Morris,accounts16@example-business.pk,+92-338-6776730,2022-11-07,19,12062533.27
CUS-0017,Crescent Industries,Food & Beverage,Lahore,SMB,330000,30,Active,Paul Hanson,accounts17@example-business.pk,+92-346-9972760,2022-07-29,11,4730064.93
CUS-0018,Apex Supplies,Education,Karachi,SMB,500000,30,Active,Michele Bond,accounts18@example-business.pk,+92-327-7327487,2022-02-15,10,8321855.53
CUS-0019,Global Engineering,Technology,Islamabad,SMB,700000,30,Active,Colin Ruiz,accounts19@example-business.pk,+92-346-2764018,2024-01-16,7,4515634.32
CUS-0020,Falcon Systems,Food & Beverage,Karachi,Mid-Market,1900000,30,On Hold,Kathy Wagner,accounts20@example-business.pk,+92-341-3722307,2023-06-05,0,0.0
CUS-0021,Summit Services,Logistics,Islamabad,Mid-Market,1710000,30,Active,David Sawyer,accounts21@example-business.pk,+92-341-8566886,2024-07-08,16,16374668.24
CUS-0022,Pacific Solutions,Construction,Lahore,Enterprise,2310000,60,On Hold,Mrs. Julie Anderson,accounts22@example-business.pk,+92-344-8581112,2022-06-08,1,4806713.78
CUS-0023,Metro Engineering,Healthcare,Karachi,SMB,710000,15,Active,Christine Garrett,accounts23@example-business.pk,+92-339-1243083,2023-01-24,7,3992003.2800000003
CUS-0024,Metro Industries,Technology,Hyderabad,Enterprise,4460000,60,Active,John Grimes,accounts24@example-business.pk,+92-318-3591372,2022-10-15,49,150282659.79
CUS-0025,Crescent Technologies,Manufacturing,Karachi,SMB,150000,15,Active,Joseph Flores,accounts25@example-business.pk,+92-333-7689876,2022-04-26,10,2862263.5
CUS-0026,Royal Engineering,Retail,Lahore,SMB,700000,30,Active,Dr. Johnathan Oconnell,accounts26@example-business.pk,+92-330-1309656,2025-02-19,10,7227168.13
CUS-0027,BlueWave Systems,Education,Multan,Mid-Market,1850000,45,On Hold,Jesse Newman,accounts27@example-business.pk,+92-313-5791324,2022-05-12,0,0.0
CUS-0028,Summit Supplies,Hospitality,Faisalabad,Mid-Market,1450000,30,Active,Megan Roberts,accounts28@example-business.pk,+92-324-6695985,2023-06-14,21,17190126.29
CUS-0029,Global Corporation,Education,Lahore,SMB,340000,15,Active,Jay Brown,accounts29@example-business.pk,+92-348-9242807,2023-11-13,10,5706488.7
CUS-0030,Royal Trading,Retail,Faisalabad,SMB,480000,30,Active,Kyle Vaughn,accounts30@example-business.pk,+92-335-6376390,2023-03-12,6,2853270.76
CUS-0031,Nexus Manufacturing,Retail,Karachi,SMB,750000,30,Active,Meghan Peters,accounts31@example-business.pk,+92-329-9133045,2025-01-21,10,3970236.63
CUS-0032,Alpha Technologies,Financial Services,Faisalabad,SMB,750000,30,Active,John Roberts,accounts32@example-business.pk,+92-327-2111538,2023-06-03,14,3656871.14
CUS-0033,Royal Services,Construction,Faisalabad,SMB,530000,15,Active,Joseph Mccoy,accounts33@example-business.pk,+92-322-2533093,2022-01-03,9,4940652.27
CUS-0034,Prime Services,Healthcare,Islamabad,Enterprise,2460000,30,Active,Patrick Moreno,accounts34@example-business.pk,+92-343-4225969,2022-12-05,44,108898095.03
CUS-0035,Pacific Trading,Construction,Faisalabad,Enterprise,2350000,30,Active,Samuel Johnson,accounts35@example-business.pk,+92-332-4540677,2024-09-29,47,141582795.62
CUS-0036,National Systems,Logistics,Faisalabad,Enterprise,2940000,45,Active,Frank Chambers,accounts36@example-business.pk,+92-335-7512391,2022-05-05,44,147691750.01
CUS-0037,Nexus Systems,Healthcare,Gujranwala,Mid-Market,1400000,30,Active,William Garcia,accounts37@example-business.pk,+92-339-9053114,2023-04-12,31,32025314.9
CUS-0038,Apex Enterprises,Food & Beverage,Lahore,Mid-Market,1210000,45,Active,John Garner,accounts38@example-business.pk,+92-347-3864063,2023-02-14,18,24147074.57
CUS-0039,Vertex Engineering,Healthcare,Karachi,Enterprise,3490000,30,Active,Christopher Manning,accounts39@example-business.pk,+92-330-8349247,2025-01-28,40,92988777.52
CUS-0040,Elite Engineering,Hospitality,Lahore,SMB,470000,30,Active,Laura Leach,accounts40@example-business.pk,+92-312-3968015,2022-05-31,8,1885220.6800000002
CUS-0041,Royal Corporation,Construction,Lahore,Mid-Market,1560000,45,Active,Jerry Jimenez,accounts41@example-business.pk,+92-329-3882482,2024-12-25,20,22691009.13
CUS-0042,Apex Industries,Education,Lahore,SMB,620000,30,Active,Ronald Brown,accounts42@example-business.pk,+92-327-5652891,2022-01-16,7,3234767.8
CUS-0043,United Services,Food & Beverage,Faisalabad,Enterprise,4780000,45,Active,Thomas Hayes,accounts43@example-business.pk,+92-343-1502221,2023-02-09,37,104470901.73
